Dates,QQQ,VIX,VVIX
2019-01-29 15:30:00,161.41,19.59,86.66
2019-01-29 16:30:00,161.89,19.11,86.05
2019-01-29 17:30:00,161.81,19.06,86.56
2019-01-29 18:30:00,161.62,18.86,87.31
2019-01-29 19:30:00,161.55,19.32,87.06
2019-01-29 20:30:00,161.51,19.31,86.84
2019-01-30 14:30:00,163.38,19.19,85.67
2019-01-30 15:30:00,163.44,18.81,85.28
2019-01-30 16:30:00,164.3,18.65,84.7
2019-01-30 17:30:00,164.19,18.7,84.58
2019-01-30 18:30:00,165.47,18.13,83.1
2019-01-30 19:30:00,165.7,17.81,82.14
2019-01-30 20:30:00,165.81,17.72,82.39
2019-01-31 14:30:00,167.87,17.2,80.37
2019-01-31 15:30:00,168.08,17.05,79.84
2019-01-31 16:30:00,168.5,16.95,80.53
2019-01-31 17:30:00,168.12,17.14,80.69
2019-01-31 18:30:00,168.12,16.82,79.86
2019-01-31 19:30:00,167.81,16.79,80.09
2019-01-31 20:30:00,168.16,16.61,79.24
2019-02-01 14:30:00,168.4,16.33,78.93
2019-02-01 15:30:00,168.04,16.54,79.12
2019-02-01 16:30:00,167.91,16.27,79.75
2019-02-01 17:30:00,167.62,16.3,80.05
2019-02-01 18:30:00,167.23,16.44,80.93
2019-02-01 19:30:00,167.28,16.6,80.57
2019-02-01 20:30:00,167.42,16.1,80.0
2019-02-04 14:30:00,168.27,16.47,79.89
2019-02-04 15:30:00,168.97,15.85,78.45
2019-02-04 16:30:00,168.95,15.83,77.94
2019-02-04 17:30:00,168.94,15.91,77.69
2019-02-04 18:30:00,169.28,15.72,77.45
2019-02-04 19:30:00,169.2,15.61,77.17
2019-02-04 20:30:00,169.5,15.74,77.36
2019-02-05 14:30:00,170.74,15.73,76.45
2019-02-05 15:30:00,170.56,15.16,78.08
2019-02-05 16:30:00,170.51,15.63,78.74
2019-02-05 17:30:00,170.29,15.93,79.23
2019-02-05 18:30:00,170.81,15.4,79.81
2019-02-05 19:30:00,171.17,15.53,79.89
2019-02-05 20:30:00,171.02,15.57,80.62
2019-02-06 14:30:00,170.12,15.51,86.08
2019-02-06 15:30:00,170.62,15.11,84.11
2019-02-06 16:30:00,170.46,15.3,85.06
2019-02-06 17:30:00,170.61,15.29,84.87
2019-02-06 18:30:00,170.35,15.41,84.86
2019-02-06 19:30:00,170.47,15.47,85.09
2019-02-06 20:30:00,170.49,15.35,84.99
2019-02-07 14:30:00,169.22,16.43,84.91
2019-02-07 15:30:00,167.94,16.71,86.17
2019-02-07 16:30:00,167.49,17.54,86.08
2019-02-07 17:30:00,167.75,16.94,85.34
2019-02-07 18:30:00,167.89,16.94,85.76
2019-02-07 19:30:00,167.72,17.0,85.5
2019-02-07 20:30:00,168.24,16.31,85.01
2019-02-08 14:30:00,166.96,17.24,87.28
2019-02-08 15:30:00,167.1,17.44,87.31
2019-02-08 16:30:00,167.15,17.09,86.58
2019-02-08 17:30:00,167.53,16.73,85.92
2019-02-08 18:30:00,168.16,16.33,83.67
2019-02-08 19:30:00,168.12,16.27,83.28
2019-02-08 20:30:00,168.51,15.69,82.7
2019-02-11 14:30:00,168.72,16.23,83.09
2019-02-11 15:30:00,168.62,16.42,83.28
2019-02-11 16:30:00,168.82,16.2,83.1
2019-02-11 17:30:00,168.39,16.08,82.86
2019-02-11 18:30:00,168.25,16.23,82.99
2019-02-11 19:30:00,168.39,16.1,83.28
2019-02-11 20:30:00,168.4,16.0,82.77
2019-02-12 14:30:00,170.21,15.36,81.32
2019-02-12 15:30:00,170.71,15.37,80.83
2019-02-12 16:30:00,170.61,15.63,81.8
2019-02-12 17:30:00,170.73,15.32,80.95
2019-02-12 18:30:00,170.98,15.32,81.71
2019-02-12 19:30:00,171.1,15.36,81.89
2019-02-12 20:30:00,170.86,15.46,81.63
2019-02-13 14:30:00,171.59,15.85,83.01
2019-02-13 15:30:00,171.28,15.51,81.58
2019-02-13 16:30:00,171.24,15.7,82.8
2019-02-13 17:30:00,171.44,15.61,81.91
2019-02-13 18:30:00,171.47,15.42,81.04
2019-02-13 19:30:00,171.54,15.38,80.08
2019-02-13 20:30:00,170.95,15.67,80.27
2019-02-14 14:30:00,171.03,16.49,83.18
2019-02-14 15:30:00,170.62,16.41,83.97
2019-02-14 16:30:00,171.61,16.03,81.71
2019-02-14 17:30:00,171.51,15.92,81.43
2019-02-14 18:30:00,171.55,15.75,81.39
2019-02-14 19:30:00,171.37,15.81,81.43
2019-02-14 20:30:00,171.17,16.26,81.64
2019-02-15 14:30:00,171.92,15.56,80.09
2019-02-15 15:30:00,171.51,15.1,79.24
2019-02-15 16:30:00,171.66,14.81,80.08
2019-02-15 17:30:00,171.28,14.98,81.38
2019-02-15 18:30:00,171.5,15.02,82.12
2019-02-15 19:30:00,171.58,14.92,82.3
2019-02-15 20:30:00,171.96,14.99,80.45
2019-02-19 14:30:00,172.33,15.42,82.11
2019-02-19 15:30:00,172.095,15.22,81.89
2019-02-19 16:30:00,172.61,15.02,79.19
2019-02-19 17:30:00,172.41,15.02,79.05
2019-02-19 18:30:00,172.54,14.85,79.19
2019-02-19 19:30:00,172.5,14.67,78.15
2019-02-19 20:30:00,172.27,14.96,78.64
2019-02-20 14:30:00,172.89,14.72,78.23
2019-02-20 15:30:00,172.8,14.55,76.63
2019-02-20 16:30:00,171.7,14.37,76.1
2019-02-20 17:30:00,172.22,14.6,75.47
2019-02-20 18:30:00,171.77,14.4,76.02
2019-02-20 19:30:00,172.17,14.26,75.35
2019-02-20 20:30:00,172.27,14.01,75.59
2019-02-21 14:30:00,170.9,14.91,78.72
2019-02-21 15:30:00,171.39,14.74,76.6
2019-02-21 16:30:00,172.06,14.39,75.33
2019-02-21 17:30:00,171.97,14.11,75.77
2019-02-21 18:30:00,171.4,14.27,76.39
2019-02-21 19:30:00,171.17,14.77,77.76
2019-02-21 20:30:00,171.6,14.39,76.64
2019-02-22 14:30:00,172.26,13.97,75.6
2019-02-22 15:30:00,172.91,13.93,74.75
2019-02-22 16:30:00,172.71,13.93,75.17
2019-02-22 17:30:00,172.69,13.99,75.11
2019-02-22 18:30:00,172.56,13.86,75.15
2019-02-22 19:30:00,172.57,13.99,74.93
2019-02-22 20:30:00,172.89,13.57,74.98
2019-02-25 14:30:00,174.24,13.82,76.07
2019-02-25 15:30:00,174.38,13.69,75.63
2019-02-25 16:30:00,173.81,13.82,76.8
2019-02-25 17:30:00,173.68,14.19,77.84
2019-02-25 18:30:00,173.95,14.15,77.82
2019-02-25 19:30:00,173.68,14.3,78.16
2019-02-25 20:30:00,173.51,14.89,79.35
2019-02-26 14:30:00,173.72,14.8,79.62
2019-02-26 15:30:00,173.84,14.86,78.97
2019-02-26 16:30:00,173.53,14.73,79.15
2019-02-26 17:30:00,173.54,14.89,79.22
2019-02-26 18:30:00,173.61,14.81,79.3
2019-02-26 19:30:00,174.04,14.59,79.12
2019-02-26 20:30:00,173.7,15.1,80.53
2019-02-27 14:30:00,172.06,15.39,85.16
2019-02-27 15:30:00,172.74,15.74,82.8
2019-02-27 16:30:00,173.13,15.21,82.0
2019-02-27 17:30:00,173.41,14.96,81.41
2019-02-27 18:30:00,173.47,15.16,80.79
2019-02-27 19:30:00,173.45,14.93,81.11
2019-02-27 20:30:00,173.55,14.76,80.37
2019-02-28 14:30:00,172.93,14.94,80.36
2019-02-28 15:30:00,173.31,15.06,79.92
2019-02-28 16:30:00,173.76,14.65,78.77
2019-02-28 17:30:00,173.6,14.53,78.76
2019-02-28 18:30:00,173.55,14.76,78.82
2019-02-28 19:30:00,173.34,14.79,79.2
2019-02-28 20:30:00,173.18,14.95,80.0
2019-03-01 14:30:00,173.71,14.11,78.7
2019-03-01 15:30:00,173.6,14.4,79.83
2019-03-01 16:30:00,173.81,14.52,78.66
2019-03-01 17:30:00,173.97,14.09,78.82
